,text,label,span
idx,,,
c4f6dccf-dc39-40cc-a6c0-1eeec9fc0ab5,Diese Maske ist nicht nur für medizinisches Personal gedacht.,corona,"[6, 11]"
f6310dbb-e8fa-499c-9835-a85daf81bdda,"Je nach Antwort auf diese Frage sind die Menschen eher bereit, sich zu schützen, strikt Kontakte zu vermeiden oder Masken zu tragen.",corona,"[115, 120]"
2ffbedf4-b35a-4234-bacf-cba2dd6154d2,"Man trägt halt eine Maske, hält Distanz, und die Hotelbar macht ganz oder früher zu.“",corona,"[20, 25]"
edae875f-1bbc-449c-b706-b983ed261b63,"Ein Link führt zum Webshop, dort kostet die Packung mit 160 Masken 320 Euro.",corona,"[60, 65]"
6e27b81a-c66f-4ea6-982b-b844a428db2c,"„Ich bin da sehr dankbar, wenn Bußgelder verhängt werden auch für das Nichttragen von Masken oder ähnlichem.",corona,"[86, 91]"
3730b88c-09bd-4b56-a60d-a42adc943d8e,Etwa beim Einkaufen oder im öffentlichen Nahverkehr ist die Maske Pflicht.,corona,"[60, 65]"
d2d07a24-75bd-412f-a3f2-faa97ee213a1,Doch was muss ich beim Tragen der Masken beachten?,corona,"[34, 39]"
36382d7f-7780-4188-9e64-d7c75a4031c5,Kann ich die Kosten einer Maske von der Steuer absetzen?,corona,"[26, 31]"
2ab319b8-d73b-4328-8b54-548f6b5fd521,"Und was mache ich, wenn meine Brille wegen der Maske beschlägt?",corona,"[47, 52]"
cb14f539-c26c-4708-87a7-92d4dedb64c7,Kleinstkinder oder Menschen mit Handicap müssen hier keine Maske tragen.,corona,"[59, 64]"
8bef0857-7727-46b8-b1dd-4c9207689f7a,Eine tatsächliche Schutzwirkung dieser Masken ist zumindest wissenschaftlich nicht belegt.,corona,"[39, 44]"
f15010b4-1c88-450d-bc2d-2d7a303a4a0b,"Da das Corona-Virus per Tröpfchen übertragen werden kann, bietet die Maske einen gewissen Schutz.",corona,"[69, 74]"
